alias,csv_column,modality,type,log_transformed,alr_transformed,alr_reference
wb_hedgehog_signaling,wb.hedgehog_signaling,wb,continuous,FALSE,FALSE,NA
wb_heme_metabolism,wb.heme_metabolism,wb,continuous,FALSE,FALSE,NA
wb_hypoxia,wb.hypoxia,wb,continuous,FALSE,FALSE,NA
wb_il_2_stat5_signaling,wb.il_2_stat5_signaling,wb,continuous,FALSE,FALSE,NA
wb_il_6_jak_stat3_signaling,wb.il_6_jak_stat3_signaling,wb,continuous,FALSE,FALSE,NA
wb_inflammatory_response,wb.inflammatory_response,wb,continuous,FALSE,FALSE,NA
wb_interferon_alpha_response,wb.interferon_alpha_response,wb,continuous,FALSE,FALSE,NA
wb_interferon_gamma_response,wb.interferon_gamma_response,wb,continuous,FALSE,FALSE,NA
wb_kras_signaling_dn,wb.kras_signaling_dn,wb,continuous,FALSE,FALSE,NA
wb_kras_signaling_up,wb.kras_signaling_up,wb,continuous,FALSE,FALSE,NA
wb_mitotic_spindle,wb.mitotic_spindle,wb,continuous,FALSE,FALSE,NA
wb_mtorc1_signaling,wb.mtorc1_signaling,wb,continuous,FALSE,FALSE,NA
wb_myc_targets_v1,wb.myc_targets_v1,wb,continuous,FALSE,FALSE,NA
wb_myc_targets_v2,wb.myc_targets_v2,wb,continuous,FALSE,FALSE,NA
wb_myogenesis,wb.myogenesis,wb,continuous,FALSE,FALSE,NA
wb_notch_signaling,wb.notch_signaling,wb,continuous,FALSE,FALSE,NA
wb_oxidative_phosphorylation,wb.oxidative_phosphorylation,wb,continuous,FALSE,FALSE,NA
wb_p53_pathway,wb.p53_pathway,wb,continuous,FALSE,FALSE,NA
wb_pancreas_beta_cells,wb.pancreas_beta_cells,wb,continuous,FALSE,FALSE,NA
wb_pi3k_akt_mtor_signaling,wb.pi3k_akt_mtor_signaling,wb,continuous,FALSE,FALSE,NA
wb_pperoxisome,wb.pperoxisome,wb,continuous,FALSE,FALSE,NA
wb_protein_secretion,wb.protein_secretion,wb,continuous,FALSE,FALSE,NA
wb_reactive_oxygen_species_pathway,wb.reactive_oxygen_species_pathway,wb,continuous,FALSE,FALSE,NA
